Region,CNTRY_NAME,Tier,Year,Biomass Source,Min tree diameter (cm) breast height (unless otherwise noted),limitations,Notes
Africa,Nigeria,1,"1977, 1994",Growing stock,20,n/a,Data from national forest resource assessment.
Asia,Palau,3,2003,Stem biomass stock,12.5,,Data from Resource Bulletin paper on forest resources of Palau. Biomass stock per hectare is assumed to be constant.
America,Panama,1,"1972, 1992, 2002",Growing stock,10,No data on dead wood.,Data from forest inventories.
Asia,Papua New Guinea,1,"1975, 1996",Growing stock,10,"Plantation growing stock value based on ""expert estimates.""",Default IPCC values were used in calculations.
America,Paraguay,1,n/a,n/a,n/a,n/a,No data reported.
America,Peru,1,Unknown,Unknown,25,No data on dead wood.,No information on data sources or methods provided.
Asia,Philippines,1,2003,Growing stock,10,n/a,Data from national forest resource assessment.
America,Puerto Rico,3,2008,Biomass stock,12.5,n/a,Data from Resource Bulletin paper on Puerto Rico's forests.
Africa,Republic of Congo,1,2004-2009,Growing stock,20 and or 40,No data on dead wood.,Data from forest inventories.
Africa,Rwanda,1,1992,Average biomass density of three common species,n/a,"No data on dead wood. Extrapolated data based on ""expert estimates.""",Data from report on three common tree species.
America,Saint Kitts and Nevis,n/a,n/a,n/a,n/a,n/a,No data reported.
America,Saint Lucia,n/a,n/a,n/a,n/a,n/a,No data reported.
America,Saint Vincent and the Grenadines,n/a,n/a,n/a,n/a,n/a,No data reported.
Africa,Senegal,1,"2004, 2009",Growing stock,10,n/a,Data from forest inventory.
Africa,Sierra Leone,1,Unknown,Growing stock,40,"Data from ""expert estimates""",No data source listed. 2010 FRA document links back to a 1986 forest resource report. Default IPCC values were used in calculations.
Asia,Singapore,n/a,n/a,n/a,n/a,n/a,No data reported.
Asia,Solomon Islands,1,2003,Growing stock,20,n/a,Data from national forest resource assessment.
Africa,Somalia,1,1981,Growing stock,n/a,n/a,Data from FAO tropical forest resource assessment.
Asia,Sri Lanka,1,2010,Growing stock,10,Assumed rubber plantations have the same growing stock as forest plantations.,Data from forest cover mapping project from Forest Inventory Division. Default IPCC values were used in calculations.
Africa,Sudan,1,1995,Growing stock,n/a,No data on dead wood.,Data from forest inventory and woody biomass working paper.
America,Suriname,1,"1974, 2011, 2012",Biomass and growing stock,5,Only tree data is included in above ground biomass. Growing stocks used where biomass stock data was unavailable.,"Data from variety of reports, including carbon assessment,  forest inventory, and yearly timber production stats."
Africa,Swaziland,1,1999,Growing stock,n/a,No data on dead wood.,Data from forest policy report.
Africa,Tanzania,1,"1999, 2014",Growing stock,8.4,n/a,Data from climate change mitigation and national forest assessment reports.
Asia,Thailand,1,"1992-1996, 2009",Growing stock,5,No data on dead wood.,Data from forest inventories.
Africa,The Gambia,1,1993,Growing stock,n/a,n/a,Sustainable forest management report provided Vol/ha values for forests.
Asia,Timor Leste,1,n/a,n/a,n/a,n/a,No data reported.
Africa,Togo,1,n/a,n/a,n/a,n/a,No data reported.
America,Trinidad and Tobago,1,1980,Growing stock,20,n/a,Data from forest inventory.
America,Turks and Caicos Islands,1,n/a,n/a,n/a,n/a,No data reported.
Africa,Uganda,1,1989-1992,Biomass stock,3,No data on dead wood.,Data from biomass technical report.
America,US Virgin Islands,3,"2004, 2009",Biomass stock,12.5,n/a,Data from forest inventory.
America,Venezuela,1,n/a,n/a,n/a,n/a,No data reported.
Asia,Vietnam,1,"1989, 1999, 2005, 2010",Growing stock,8,No data on dead wood.,Data from forest inventories.
Africa,Zambia,2,2006-2007,Biomass stock,5,No data on dead wood.,Data from land use assessment.
Africa,Zimbabwe,1,"1989, 2012",Biomass and growing stock,5,No data on dead wood. ,Data from biomass assessment. Growing stock used for plantation data.
